city_x,city_y,iata_code_x,iata_code_y,lat_x,lat_y,lon_x,lon_y
Prague,Bordeaux,PRG,BOD,50.1008,44.8283004761,14.26,-0.715556025505
Prague,Lille,PRG,LIL,50.1008,50.563332,14.26,3.086886
Prague,Lyon,PRG,LYS,50.1008,45.725556,14.26,5.081111
Prague,Marseille,PRG,MRS,50.1008,43.439271922,14.26,5.22142410278
Prague,Nantes,PRG,NTE,50.1008,47.1531982422,14.26,-1.61073005199
Prague,Nice,PRG,NCE,50.1008,43.6584014893,14.26,7.21586990356
Prague,Paris,PRG,CDG,50.1008,49.012798,14.26,2.55
Prague,Toulouse,PRG,TLS,50.1008,43.629101,14.26,1.36382
Prague,Berlin,PRG,TXL,50.1008,52.5597,14.26,13.2877
Prague,Cologne,PRG,CGN,50.1008,50.8658981323,14.26,7.1427397728
Prague,Düsseldorf,PRG,DUS,50.1008,51.289501,14.26,6.76678
Prague,Frankfurt,PRG,FRA,50.1008,50.033333,14.26,8.570556
Prague,Friedrichshafen,PRG,FDH,50.1008,47.6712989807,14.26,9.51148986816
Prague,Hanover,PRG,HAJ,50.1008,52.461101532,14.26,9.68507957458
Prague,Munich,PRG,MUC,50.1008,48.353802,14.26,11.7861
Prague,Nuremberg,PRG,NUE,50.1008,49.498699,14.26,11.078056
Prague,Stuttgart,PRG,STR,50.1008,48.6898994446,14.26,9.22196006775
Prague,Hamburg,PRG,HAM,50.1008,53.630278,14.26,9.991111
Prague,Athens,PRG,ATH,50.1008,37.9364013672,14.26,23.9444999695
Prague,Thessaloniki,PRG,SKG,50.1008,40.5196990966797,14.26,22.9708995819092
Prague,Budapest,PRG,BUD,50.1008,47.42976,14.26,19.261093
Prague,Debrecen,PRG,DEB,50.1008,47.488899230957,14.26,21.6152992248535
Prague,Cork,PRG,ORK,50.1008,51.8413009643555,14.26,-8.49110984802246
Prague,Dublin,PRG,DUB,50.1008,53.421299,14.26,-6.27007
Prague,Shannon,PRG,SNN,50.1008,52.702,14.26,-8.92482
Prague,Bologna,PRG,BLQ,50.1008,44.5354,14.26,11.2887
Prague,Florence,PRG,FLR,50.1008,43.810001,14.26,11.2051
Prague,Genoa,PRG,GOA,50.1008,44.4133,14.26,8.8375
Prague,Milan,PRG,MXP,50.1008,45.6306,14.26,8.72811
Prague,Naples,PRG,NAP,50.1008,40.886002,14.26,14.2908
Prague,Pisa,PRG,PSA,50.1008,43.683899,14.26,10.3927
Prague,Rome,PRG,FCO,50.1008,41.8002778,14.26,12.2388889
Prague,Turin,PRG,TRN,50.1008,45.200802,14.26,7.64963
Prague,Venice,PRG,VCE,50.1008,45.505299,14.26,12.3519
Prague,Amsterdam,PRG,AMS,50.1008,52.308601,14.26,4.76389
Prague,Eindhoven,PRG,EIN,50.1008,51.4500999451,14.26,5.37452983856
Prague,Rotterdam,PRG,RTM,50.1008,51.956902,14.26,4.43722
Prague,Bergen,PRG,BGO,50.1008,60.29339981,14.26,5.218140125
Prague,Oslo,PRG,OSL,50.1008,60.193901062012,14.26,11.100399971008
Prague,Stavanger,PRG,SVG,50.1008,58.876701354,14.26,5.6377801895
Prague,Katowice,PRG,KTW,50.1008,50.4743,14.26,19.08
Prague,Kraków,PRG,KRK,50.1008,50.077702,14.26,19.7848
Prague,Warsaw,PRG,WAW,50.1008,52.1656990051,14.26,20.9671001434
Prague,Lisbon,PRG,LIS,50.1008,38.7813,14.26,-9.13592
Prague,Porto,PRG,OPO,50.1008,41.2481002808,14.26,-8.68138980865
Prague,Belgrade,PRG,BEG,50.1008,44.8184013367,14.26,20.3090991974
Prague,Barcelona,PRG,BCN,50.1008,41.2971,14.26,2.07846
Prague,Girona,PRG,GRO,50.1008,41.901000977,14.26,2.7605500221
Prague,Granada,PRG,GRX,50.1008,37.1887016296387,14.26,-3.77735996246338
Prague,Madrid,PRG,MAD,50.1008,40.471926,14.26,-3.56264
Prague,Malaga,PRG,AGP,50.1008,36.6749000549316,14.26,-4.49911022186279
Prague,Seville,PRG,SVQ,50.1008,37.4179992675781,14.26,-5.8931097984314
Prague,Valencia,PRG,VLC,50.1008,39.4893,14.26,-0.481625
Prague,Malmö,PRG,MMX,50.1008,55.536305364,14.26,13.3761978149
Prague,Stockholm,PRG,ARN,50.1008,59.651901245117,14.26,17.918600082397
Prague,Belfast,PRG,BFS,50.1008,54.6575012207,14.26,-6.21582984924
Prague,Birmingham,PRG,BHX,50.1008,52.4538993835,14.26,-1.74802994728
Prague,Cardiff,PRG,CWL,50.1008,51.3967018127441,14.26,-3.34332990646362
Prague,Edinburgh,PRG,EDI,50.1008,55.9500007629395,14.26,-3.37249994277954
Prague,Glasgow,PRG,GLA,50.1008,55.871899,14.26,-4.43306
Prague,Liverpool,PRG,LPL,50.1008,53.3335990905762,14.26,-2.8497200012207
Prague,London,PRG,LHR,50.1008,51.4706,14.26,-0.461941
Prague,Manchester,PRG,MAN,50.1008,53.3536987304688,14.26,-2.27495002746582
Prague,Newcastle,PRG,NCL,50.1008,55.0374984741211,14.26,-1.69166994094849
Prague,Southampton,PRG,SOU,50.1008,50.9502983093262,14.26,-1.35679996013641
Bordeaux,Prague,BOD,PRG,44.8283004761,50.1008,-0.715556025505,14.26
