city_x,city_y,iata_code_x,iata_code_y,lat_x,lat_y,lon_x,lon_y
Liverpool,Amsterdam,LPL,AMS,53.3335990905762,52.308601,-2.8497200012207,4.76389
Liverpool,Eindhoven,LPL,EIN,53.3335990905762,51.4500999451,-2.8497200012207,5.37452983856
Liverpool,Rotterdam,LPL,RTM,53.3335990905762,51.956902,-2.8497200012207,4.43722
Liverpool,Bergen,LPL,BGO,53.3335990905762,60.29339981,-2.8497200012207,5.218140125
Liverpool,Oslo,LPL,OSL,53.3335990905762,60.193901062012,-2.8497200012207,11.100399971008
Liverpool,Stavanger,LPL,SVG,53.3335990905762,58.876701354,-2.8497200012207,5.6377801895
Liverpool,Katowice,LPL,KTW,53.3335990905762,50.4743,-2.8497200012207,19.08
Liverpool,Kraków,LPL,KRK,53.3335990905762,50.077702,-2.8497200012207,19.7848
Liverpool,Warsaw,LPL,WAW,53.3335990905762,52.1656990051,-2.8497200012207,20.9671001434
Liverpool,Lisbon,LPL,LIS,53.3335990905762,38.7813,-2.8497200012207,-9.13592
Liverpool,Porto,LPL,OPO,53.3335990905762,41.2481002808,-2.8497200012207,-8.68138980865
Liverpool,Belgrade,LPL,BEG,53.3335990905762,44.8184013367,-2.8497200012207,20.3090991974
Liverpool,Barcelona,LPL,BCN,53.3335990905762,41.2971,-2.8497200012207,2.07846
Liverpool,Girona,LPL,GRO,53.3335990905762,41.901000977,-2.8497200012207,2.7605500221
Liverpool,Granada,LPL,GRX,53.3335990905762,37.1887016296387,-2.8497200012207,-3.77735996246338
Liverpool,Madrid,LPL,MAD,53.3335990905762,40.471926,-2.8497200012207,-3.56264
Liverpool,Malaga,LPL,AGP,53.3335990905762,36.6749000549316,-2.8497200012207,-4.49911022186279
Liverpool,Seville,LPL,SVQ,53.3335990905762,37.4179992675781,-2.8497200012207,-5.8931097984314
Liverpool,Valencia,LPL,VLC,53.3335990905762,39.4893,-2.8497200012207,-0.481625
Liverpool,Malmö,LPL,MMX,53.3335990905762,55.536305364,-2.8497200012207,13.3761978149
Liverpool,Stockholm,LPL,ARN,53.3335990905762,59.651901245117,-2.8497200012207,17.918600082397
Liverpool,Belfast,LPL,BFS,53.3335990905762,54.6575012207,-2.8497200012207,-6.21582984924
Liverpool,Birmingham,LPL,BHX,53.3335990905762,52.4538993835,-2.8497200012207,-1.74802994728
Liverpool,Cardiff,LPL,CWL,53.3335990905762,51.3967018127441,-2.8497200012207,-3.34332990646362
Liverpool,Edinburgh,LPL,EDI,53.3335990905762,55.9500007629395,-2.8497200012207,-3.37249994277954
Liverpool,Glasgow,LPL,GLA,53.3335990905762,55.871899,-2.8497200012207,-4.43306
Liverpool,London,LPL,LHR,53.3335990905762,51.4706,-2.8497200012207,-0.461941
