city_x,city_y
Bastia,London Luton
Bastia,London Southend
Bastia,London Stansted
Bastia,Manchester
Bastia,Newcastle
Bastia,Southampton
Bergerac,Ajaccio
Bergerac,Bastia
Bergerac,Biarritz
Bergerac,Bordeaux
Bergerac,Brest Bretagne
Bergerac,Figari South Corsica
Bergerac,Lille
Bergerac,Lyon-Saint Exupéry
Bergerac,Marseille
Bergerac,Montpellier
Bergerac,Nantes
Bergerac,Nice
Bergerac,Paris Beauvais
Bergerac,Paris Charles de Gaulle
Bergerac,Paris Orly
Bergerac,Strasbourg
Bergerac,Rennes Bretagne
Bergerac,Réunion Roland Garros
Bergerac,Toulon-Hyères
Bergerac,Toulouse Blagnac
Bergerac,Allgäu Memmingen
Bergerac,Berlin Brandenburg
Bergerac,Berlin Schönefeld
Bergerac,Berlin Tegel
Bergerac,Bremen
Bergerac,Cologne Bonn
Bergerac,Dortmund
Bergerac,Dresden
Bergerac,Düsseldorf
Bergerac,Frankfurt
Bergerac,Frankfurt-Hahn
Bergerac,Friedrichshafen
Bergerac,Hamburg
Bergerac,Hanover
Bergerac,Karlsruhe Baden-Baden
Bergerac,Leipzig Halle
Bergerac,Munich
Bergerac,Münster Osnabrück
Bergerac,Nuremberg
Bergerac,Paderborn Lippstadt
Bergerac,Stuttgart
Bergerac,Weeze
Bergerac,Alghero
Bergerac,Ancona
Bergerac,Bari
Bergerac,Bergamo
Bergerac,Bologna
Bergerac,Brindisi
Bergerac,Cagliari
Bergerac,Catania Fontanarossa
Bergerac,Comiso
Bergerac,Florence
Bergerac,Genoa
Bergerac,Lamezia Terme
Bergerac,Milan Linate
Bergerac,Milan Malpensa
Bergerac,Naples
Bergerac,Olbia Costa Smeralda
Bergerac,Palermo
Bergerac,Perugia
Bergerac,Pescara
Bergerac,Pisa
Bergerac,Rome Ciampino
Bergerac,Rome Fiumicino
Bergerac,Trapani
Bergerac,Treviso
Bergerac,Turin
Bergerac,Venice
Bergerac,Verona
Bergerac,Amsterdam Schiphol
Bergerac,Eindhoven
Bergerac,Groningen Eelde
Bergerac,Maastricht Aachen
Bergerac,Rotterdam The Hague
Bergerac,Alicante
Bergerac,Almeria
Bergerac,Asturias
Bergerac,Barcelona
Bergerac,Bilbao
Bergerac,Fuerteventura
Bergerac,Girona
Bergerac,Gran Canaria
Bergerac,Granada-Jaén
Bergerac,Ibiza
Bergerac,Jerez
Bergerac,La Palma
Bergerac,Lanzarote
Bergerac,Madrid Barajas
Bergerac,Malaga
Bergerac,Menorca
Bergerac,Palma de Mallorca
Bergerac,Región de Murcia
Bergerac,Reus
Bergerac,Santander
Bergerac,Santiago de Compostela
Bergerac,Seville
Bergerac,Tenerife North
Bergerac,Tenerife South
Bergerac,Valencia
Bergerac,Zaragoza
Bergerac,Aberdeen
Bergerac,Belfast City
Bergerac,Belfast International
Bergerac,Birmingham
