,city,country,airport,lon,lat
100,Cork,Ireland,ORK,-8.491109848022461, 51.84130096435547
101,Dublin,Ireland,DUB,-6.27007, 53.421299
102,Ireland West Knock,Ireland,NOC,-8.818490028381348, 53.910301208496094
103,Kerry,Ireland,KIR,-9.52377986907959, 52.18090057373047
104,Shannon,Ireland,SNN,-8.92482, 52.702
105,Alghero,Italy,AHO,8.29077, 40.632099
106,Ancona,Italy,AOI,13.3623, 43.616299
107,Bari,Italy,BRI,16.760599, 41.138901
108,Bergamo,Italy,BGY,9.70417, 45.673901
109,Bologna,Italy,BLQ,11.2887, 44.5354
110,Brindisi,Italy,BDS,17.947001, 40.6576
111,Cagliari,Italy,CAG,9.05428, 39.251499
112,Catania Fontanarossa,Italy,CTA,15.0664, 37.466801
113,Comiso,Italy,CIY,14.607182, 36.994601
114,Florence,Italy,FLR,11.2051, 43.810001
115,Genoa,Italy,GOA,8.8375, 44.4133
116,Lamezia Terme,Italy,SUF,16.2423, 38.905399
117,Milan Linate,Italy,LIN,9.27674, 45.445099
118,Milan Malpensa,Italy,MXP,8.72811, 45.6306
119,Naples,Italy,NAP,14.2908, 40.886002
120,Olbia Costa Smeralda,Italy,OLB,9.51763, 40.898701
121,Palermo,Italy,PMO,13.091, 38.175999
122,Perugia,Italy,PEG,12.5132, 43.095901
123,Pescara,Italy,PSR,14.1811, 42.431702
124,Pisa,Italy,PSA,10.3927, 43.683899
125,Rome Ciampino,Italy,CIA,12.5949, 41.7994
126,Rome Fiumicino,Italy,FCO,12.2388889, 41.8002778
127,Trapani,Italy,TPS,12.488, 37.9114
128,Treviso,Italy,TSF,12.1944, 45.648399
129,Turin,Italy,TRN,7.64963, 45.200802
130,Venice,Italy,VCE,12.3519, 45.505299
131,Verona,Italy,VRN,10.8885, 45.395699
132,Almaty,Kazakhstan,ALA,77.04049682617188, 43.35210037231445
133,Astana,Kazakhstan,TSE,71.46690368652344, 51.02220153808594
134,Pristina,Kosovo,PRN,21.035801, 42.5728
135,Riga,Latvia,RIX,23.971099853515625, 56.92359924316406
136,Kaunas,Lithuania,KUN,24.084800720214844, 54.96390151977539
137,Vilnius,Lithuania,VNO,25.285801, 54.634102
138,Luxembourg,Luxembourg,LUX,6.2044444, 49.6233333
139,Malta,Malta,MLA,14.4775, 35.857498
140,Chisinau,Moldova,KIV,28.930999755859375, 46.92770004272461
141,Podgorica,Montenegro,TGD,19.2519, 42.359402
142,Tivat,Montenegro,TIV,18.72330093383789, 42.404701232910156
143,Amsterdam Schiphol,Netherlands,AMS,4.76389, 52.308601
144,Eindhoven,Netherlands,EIN,5.37452983856, 51.4500999451
145,Groningen Eelde,Netherlands,GRQ,6.57944011688, 53.1197013855
146,Maastricht Aachen,Netherlands,MST,5.77014, 50.911701
147,Rotterdam The Hague,Netherlands,RTM,4.43722, 51.956902
148,Skopje,North Macedonia,SKP,21.621401, 41.961601
149,Ålesund,Norway,AES,6.119699954986572, 62.5625
